메뉴명,조리방법,요리종류,중량(1인분),열량,탄수화물,단백질,지방,나트륨,해쉬태그,이미지경로(소),이미지경로(대),재료정보,레시피
간장소스를 곁들인 새우전복찜,찌기,반찬,,119.1,8.2,19.2,1.1,455.9,해초,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00643_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00643_1.png,"설탕, 녹말, 시금치, 식용꽃, 새우, 소금, 해초, 마늘, 전복, 저염간장, 레몬","1. 전복은 수저로 떼어내어 소금으로 비벼
깨끗이 씻는다. 
2. 시금치는 데쳐 다지고, 새우는 껍질을
벗겨 전복, 해초와 함께 다진다. 
3. ?번을 잘 섞어 전복 껍질에 넣는다. 
4. 찜통에 김이 오르면 속을 채운 전복
껍질을 넣고 약 10분 정도 찐다. 
5. 저염간장, 레몬, 설탕, 다진마늘을
넣고 살짝 끓여 소스를 만든다. 
6. 간장소스에 전분을 풀어 농도를
맞추고, 전복찜에 여러번 바르고
식용꽃을 올린다.              "
검은콩국수,끓이기,일품,,343.6,68.1,11.2,3,633.5,메밀면,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00644_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00644_1.png,"땅콩, 잣, 오이, 참깨, 방울토마토, 메밀면, 검은콩","1. 검은콩은 깨끗이 씻어 약 12시간 정도
충분히 불린다. 
2. 불린 검은콩은 20분 정도 삶아 깨끗이
씻는다. 
3. 삶은 검은콩은 믹서기에 곱게 갈아
차갑게 식힌다. 
4. 오이는 씨를 제거하고 깨끗이 씻어
채썬다. 
5. 물을 끓여 메밀면을 삶고, 찬물에
여러번 헹구어 건져 물기를 뺀다. 
6. 메밀면을 그릇에 담고 차가운 콩 국물,
땅콩, 잣, 오이, 방울토마토 및 통깨를
올린다.              "
겨자소스로 구운 산마샐러드,굽기,반찬,,112,16,3,4,144.8,돌나물,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00645_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00645_1.png,"설탕, 참나물, 어린잎, 겨자가루, 레디쉬, 돈나물, 산마, 저염간장, 식초, 토마토","1. 어린잎은 찬물에 담근다. 
2. 마는 껍질을 벗겨 동글동글하게 썬다 
3. 썰어 놓은 마는 팬에 기름을 살짝
두르고 앞뒤로 굽는다. 
4. 참나물, 돈나물, 토마토, 레디쉬는
먹기 좋은 크기로 썬다. 
5. 겨자가루는 30℃ 물을 섞어 발효
시킨다. 
6. 저염간장에 식초, 설탕, 발효겨자를
넣고 골고루 섞어 소스를 만들고,
접시에 구운 마와 손질한 야채를 넣고
만들어 놓은 소스와 어린잎을 올린다.              "
닭고기김치찌개,끓이기,국&찌개,,277.1,1.79,5.87,2.73,776.6,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00271_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00271_1.png,"청양고추, 멸치, 두부, 마른 고추, 무, 미나리, 느타리버섯, 대파, 참기름, 마늘, 청주, 양파, 물, 김치, 달걀, 육수 다시마, 애호박, 재료 닭가슴살","1. 육수 재료를 넣고 중간 불로 끓인 뒤
체에 걸러 육수를 만든다. 
2. 닭가슴살은 채 썬 뒤 물에 넣고
삶는다. 
3. 애호박은 반달 썰고, 미나리는 5㎝
길이로 썰고, 청양고추는 잘게 썬 뒤
찬물에 담가 씨를 빼고, 두부는 한입
크기로 썰어 물에 담가둔다. 
4. 김치를 한입 크기로 썬 뒤 참기름에
볶다가 육수를 붓는다. 
5. 두부, 애호박, 느타리버섯, 미나리,
닭가슴살을 넣어 끓어오르면
달걀물과 청양고추를 넣고 조금
더 끓여 마무리한다.               "
완자김치찌개,끓이기,국&찌개,,161.1,1.34,6.78,2.61,355,등심,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00272_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00272_1.png,"두부, 재료 콩나물, 다진 돼지고기, 붉은 고추, 육수 대파, 마늘, 새우젓, 쇠고기, 김치","1. 대파, 마늘, 쇠고기를 물(300g)과
함께 끓인 뒤 면포에 걸러 육수를
만든다. 
2. 콩나물, 김치를 물에 씻어 손질한다. 
3. 두부는 물기를 빼고, 붉은 고추는
다진 뒤 돼지고기와 섞어 반죽해
동그랗게 빚어 완자를 만든다. 
4. 김 오른 찜기에 완자를 넣어 찐다. 
5. 육수를 끓이고 끓어오르면 김치,
콩나물, 새우젓을 넣는다. 
6. 한소끔 더 끓이다가 완자를 넣고
조금 더 끓여 마무리한다.              "
백김치콩비지찌개,끓이기,국&찌개,,195.3,3.13,2.99,2.99,447.2,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00273_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00273_1.png,"양념 참기름, 콩비지, 후춧가루, 재료 풋고추, 간장, 다진 마늘, 백김치","1. 풋고추는 잘게 다진다. 
2. 백김치는 먹기 좋은 크기로 썬다. 
3. 냄비에 백김치를 볶다가 김치가
익으면 참기름, 후춧가루,
다진 마늘을 넣고 볶는다. 
4. 물(200g)을 넣고 끓인다. 
5. 물이 끓으면 콩비지와 간장,
풋고추를 넣어 약한 불에서 15분
정도 끓여 마무리한다.               "
오징어김치찌개,끓이기,국&찌개,,159.1,2.5,2.4,0.7,549,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00274_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00274_1.png,"고구마, 멸치, 두부, 다시마, 쑥갓, 양념 참기름, 팽이버섯, 콩나물, 들깻가루, 붉은 고추, 물, 대파, 김치, 재료 오징어, 육수 무","1. 육수 재료를 넣고 끓인 뒤 체로 걸러
육수를 낸다. 
2. 오징어 몸통은 큼지막하게 썰고
다리는 얇게 썬다. 
3. 두부와 버섯은 먹기 좋게 썰고,
고추는 어슷하게 썰고, 고구마는
먹기 좋은 크기로 썰고, 콩나물은
다듬는다. 
4. 김치는 먹기 좋은 크기로 썬 뒤
냄비에 참기름을 두르고 볶다가
고구마, 콩나물, 육수를 넣고 끓인다. 
5. 자작하게 끓으면 오징어를 넣고
끓이고, 오징어가 익으면 들깻가루를
넣고 끓인다. 
6. 두부, 팽이버섯, 쑥갓, 고구마,
붉은 고추를 넣고 끓여 마무리한다.              "
해물김치찌개,끓이기,국&찌개,200,53.9,5.2,3,2.3,385.1,,http://www.foodsafetykorea.go.kr/uploadimg/20230306/20230306022845_1678080525384.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20230313/20230313110520_1678673120064.jpg,"멸치, 육수 재료, 두부, 다시마, 필수 재료, 팽이버섯, 무, 마늘, 대파, 참기름, 물, 주꾸미, 배즙, 김치, 양파","1. 냄비에 육수 재료를 넣고 끓이다가 물이 끓어오르면 다시마를 건지고 조금 더 끓여 육수를 우려낸다. 
2. 주꾸미는 내장과 입, 눈을 제거하고 4cm 크기로 잘라 준비한다. 
3. 김치는 국물을 꽉 짜서 한입 크기로 썰고, 무는 편 썰고, 마늘은 다지고, 대파는 어슷 썰고, 양파는 굵게 채 썰고, 두부는 납작하게 썬다. 
4. 냄비에 참기름을 두르고, 김치, 무, 양파가 투명해질 때까지 볶다가 육수를 붓고 끓으면 주꾸미, 다진 마늘을 넣어 더 끓인다. 
5. 김칫국물과 배즙을 2:1로 섞은 뒤 찌개에 넣어 간을 맞춘다. 
6. 두부, 팽이버섯을 넣고 한소끔 끓여 마무리한다              "
맑은부대찌개,끓이기,국&찌개,,395.9,8.67,6.23,2.41,334.9,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00276_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00276_1.png,"고기완자양념 생강즙, 다시마육수 다시마, 소금, 불린 당면, 양파, 콩나물, 다진 파, 다진 마늘, 두부, 재료 느타리버섯, 미나리, 배추, 마른 고추, 무, 돼지고기, 후춧가루, 대파, 쇠고기, 조랭이떡","1. 다시마육수재료를 물에 넣고 끓여
육수를 낸다. 
2. 느타리버섯은 가닥가닥 떼고, 두부는
썰고, 콩나물은 머리와 꼬리를 떼
손질한다. 
3. 배추와 미나리를 데친다. 
4. 돼지고기, 쇠고기에 고기완자양념을
넣어 반죽한 뒤 빚어 완자를 만든다. 
5. 냄비에 모든 재료를 돌려 담은 뒤
육수를 부어 끓인다.               "
나가사키부대찌개,끓이기,국&찌개,,342.7,3.99,5.37,3.63,778,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00277_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00277_1.png,"팽이버섯, 깻잎, 붉은 고추, 양념 들깻가루, 애호박, 양파, 쑥갓, 표고버섯, 다진 파, 감자, 우유, 육수 사골육수, 다진 마늘, 밀가루, 달걀노른자, 청양고추, 완자 다진 돼지고기, 두부, 다시마, 소금, 재료 통조림 햄, 실곤약, 무, 후춧가루, 느타리버섯","1. 통조림 햄은 한 번 데친 뒤 우유에
담가두고, 실곤약은 식초를 넣은
끓는 물에 살짝 데친다. 
2. 양파는 굵게 채 썰고, 느타리버섯은
찢고, 표고버섯은 모양대로 썰고,
팽이버섯은 끝부분을 잘라내고,
청양고추와 붉은 고추는 어슷 썬다. 
3. 감자, 무, 두부는 
0.5㎝ 두께로 썰고,
애호박은 반달썰기 하고 깻잎은
채 썰어 찬물에 담가 매운맛을
제거한다. 
4. 사골육수에 다시마를 넣어 끓인 후
한 김 식힌다. 
5. 다진 돼지고기에 다진 파, 다진 마늘,
후춧가루, 소금을 섞어 완자를
만들고 밀가루와 달걀물을 묻혀
식용유(5g)를 두른 팬에 부친다. 
6. 냄비에 재료를 보기 좋게 담고
사골육수를 부은 뒤 끓이다가
쑥갓과 들깻가루를 넣어 마무리한다.              "
삼계부대찌개,끓이기,국&찌개,,299.9,8.26,4.46,0.09,163.6,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00278_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00278_1.png,"팽이버섯, 붉은 고추, 숙주, 애호박, 고춧가루, 풋고추, 쑥갓, 표고버섯, 오가피, 함초, 콩가루, 다진 마늘, 양념장 겨자가루, 육수 당귀, 당근, 재료 닭가슴살, 쌀겨, 대파, 대추, 김치, 떡, 당면","1. 육수 재료를 넣고 20분간 끓여
육수를 낸다. 
2. 닭가슴살과 당근을 다져 모양을
잡은 뒤 김 오른 찜기에 넣고 찐다. 
3. 고추, 대파는 어슷 썰고, 쑥갓,
표고버섯, 애호박, 김치는 먹기
좋은 크기로 썰고, 팽이버섯은
밑동을 잘라 손질한다. 
4. 당면과 숙주는 뜨거운 물에 데쳐
준비한다. 
5. 양념장 재료를 섞은 뒤 육수(13g)를
넣고 양념장을 만든다. 
6. 준비한 재료를 담고 육수를 부은 뒤
양념장을 넣고 끓여 마무리한다.              "
쑥갓부대찌개,끓이기,국&찌개,200,126.3,9.9,6.4,6.8,347.1,,http://www.foodsafetykorea.go.kr/uploadimg/20230308/20230308012547_1678249547987.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20230308/20230308012559_1678249559785.jpg,"청양고추, 두부, 다시마, 쑥갓, 설탕, 팽이버섯, 통조림 햄, 육수, 고추장, 물, 양념장, 고춧가루, 다진마늘, 김치, 애호박, 필수재료","1. 통조림 햄을 썰어 끓는 물에 데친다. 
2. 애호박은 반달모양으로 썰고, 두부는 도톰하게 썰고, 팽이버섯은 3등분하고, 청양고추는 어슷 썬다. 
3. 김치는 씻어서 잘게 썬다. 
4. 양념장을 만든다. 
5. 냄비에 물과 다시마를 넣고 살짝 끓여 육수를 만든다. 
6. 육수에 손질한 재료를 담고 양념장의 1/2 분량을 넣고 중간 불에 끓이다가 쑥갓과 남은 양념장을 넣고 약한 불에 조금 더 끓여 마무리한다.              "
들깨순두부찌개,끓이기,국&찌개,,171.7,2.92,2.8,1.36,111.6,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00280_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00280_1.png,"멸치, 순두부, 들깻가루, 표고버섯, 무, 미나리, 소금, 붉은 고추, 느타리버섯, 재료 굴, 대파, 국간장, 양념 다진 마늘, 양파","1. 굴은 깨끗이 씻은 뒤 김 오른 찜기에
찐다. 
2. 굴을 쪄낸 물(250g)에 멸치,
표고버섯 밑동을 넣고 끓인 뒤
멸치와 표고버섯 밑동을 건져내
육수를 만든다. 
3. 느타리버섯은 밑동을 제거한 후
씻어 세로로 찢고, 표고버섯은

0.5㎝ 두께로 썬다. 
4. 무는 나박 썰고 양파는 채 썰고,
미나리는 3㎝ 길이로 썰고,
대파와 고추는 송송 썬다. 
5. 육수에 굴, 다진 마늘, 무, 양파,
버섯을 넣고 끓인다. 
6. 들깻가루와 순두부를 넣고 한소끔
끓인 뒤 국간장과 소금으로 간을
맞추고 대파, 붉은 고추, 미나리를
올려 마무리한다.              "
백태순두부찌개,끓이기,국&찌개,,165.4,2.4,3.08,1.13,640.3,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00281_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00281_1.png,"육수 마른 다시마, 멸치, 순두부, 풋고추, 표고버섯, 새우, 재료 콩, 바지락, 붉은 고추, 느타리버섯, 대파, 물, 저염된장, 애호박, 양파","1. 냄비에 육수 재료를 넣어 끓인다. 
2. 콩을 충분히 불려 믹서기에 물을
넣고 갈아 준비한다. 
3. 느타리버섯은 찢고, 표고버섯은 먹기
좋은 크기로 자르고, 애호박과
양파는 깍둑 썰고, 대파와 고추는
송송 썬다. 
4. 바지락은 해감해 준비한다. 
5. 육수에 콩, 느타리버섯, 표고버섯,
애호박, 저염된장, 새우, 바지락을
넣고 끊인다. 
6. 순두부를 넣고 끊인 후 양파, 대파,
붉은 고추, 풋고추를 넣고 한소끔
끓여 마무리한다.              "
버섯순두부찌개,끓이기,국&찌개,250,85.7,6.3,6.4,3.9,243.1,,http://www.foodsafetykorea.go.kr/uploadimg/20230308/20230308053608_1678264568602.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20230308/20230308053620_1678264580849.jpg,"저염된장, 부추, 애호박, 양파, 양념, 육수, 표고버섯, 찹쌀가루, 감자, 청양고추, 다시마, 들깻가루, 저염국간장, 필수 재료, 미나리, 순두부, 물, 대파, 다진마늘, 표고버섯 밑동","1. 표고버섯은 머리와 밑동을 분리하고, 머리 부분은 잘게 썬다. 
2. 애호박, 감자, 양파는 한입 크기로 썰고, 미나리와 부추는 3cm 길이로 썰고, 대파와 청양고추는 송송 썬다. 
3. 물에 다시마, 표고버섯 밑동을 넣고 끓으면 건더기를 건져 육수를 만든다. 
4. 육수에 저염된장과 찹쌀가루를 풀어 한소끔 끓이고, 감자와 다진마늘을 넣어 끓인다. 
5. 애호박과 표고버섯을 넣고, 순두부, 양파, 들깻가루, 저염국간장을 넣어 한소끔 끓인다. 
6. 대파, 청양고추, 미나리, 부추를 듬뿍 올려 마무리한다.              "
토란순두부찌개,끓이기,국&찌개,,312.7,2.93,3.48,2.96,409.2,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00283_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00283_1.png,"청양고추, 순두부, 들깻가루, 표고버섯, 붉은 고추, 백합, 재료 토란","1. 토란은 2×2㎝로 썬다. 
2. 표고버섯은 채 썰고, 고추는
어슷하게 썬다. 
3. 냄비에 물(500ml)을 넣고 물이
끓으면 백합을 넣고 끓여 육수를
낸다. 
4. 조개가 입을 벌리면 토란과
들깻가루, 표고버섯을 넣고 끓인다. 
5. 육수가 어느 정도 걸쭉해지면
순두부를 넣고 끓인다. 
6. 붉은 고추와 청양고추를 올려
마무리한다.              "
토마토스프파스타,끓이기,일품,,282.6,37,10.4,10.4,41.4,먹물파스타,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00385_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00385_1.png,"치즈, 먹물파스타, 올리브오일, 가지색 파프리카, 곁들이 야채, 다진양파, 홀토마토, 가지, 애호박, 다진마늘, 함초소금, 토마토, 파슬리가루, 양파","1. 토마토홀과 토마토는 송송 다져주고, 마늘,
양파를 냄비에서 볶은 후 믹서에 갈아 토마토
스프를 만들어준다. 
2. 만들어진 스프를 볶아서 신맛을 날려준다. 
3. 먹물파스타면은 삶은 뒤 오일에 버무려주고
볶아준다. 
4. 양파, 애호박, 가지, 2가지색 파프리카를 먹기
좋게 잘라 팬에 볶아준다. 
5. 접시에 볶아진 채소와 파스타면을 서로 다시
볶아준다. 
6. 치즈를 곱게 다져주고 접시에 파스타면을
올린 뒤, 토마토스프와 치즈가루를 뿌려 완성
한다.              "
다이어트국수,기타,일품,,36.9,6.1,0.1,1.4,490.7,물김치,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00386_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00386_1.png,"달걀 개, 탄산수, 당근, 오이, 레몬즙, 실곤약, 통깨, 물김치국물, 어간장, 양파","1. 양파, 당근, 오이는 채 썰어준다. 
2. 열무 물김치와 탄산수, 어간장을 넣어 국수
국물을 만들어준다. 
3. 달걀은 삶아준다. 
4. 실곤약은 삶을 때 레몬즙을 넣어서 곤약의
특이한 냄새를 제거한다. 
5. 물기를 제거한 곤약에 어간장을 넣어 밑간을
해준다. 
6. 그릇에 담고 국물을 부어주고, 채소와 달걀을
곁들여 완성한다.              "
오징어구이,볶기,반찬,,278.1,24.8,22.9,9.7,611.4,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00387_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00387_1.png,"홍고추, 설탕, 올리고당, 고추장, 후추, 양념장, 고춧가루, 홀토마토, 참기름, 고명, 볶은 현미, 오징어, 다진마늘, 미니파프리카, 청고추, 양파","1. 오징어는 솔방울 모양으로 잘라준다. 
2. 미니 파프리카, 양파, 청홍고추는 적당한
크기로 잘라준다. 
3. 다진마늘을 볶다가 오징어를 넣어 볶는다. 
4. 홀토마토와 양념장 재료를 넣어 볶는다. 
5. 팬을 약간 태우는 듯 해서 불맛과 매운맛을
더해준다. 
6. 접시에 담아주고 볶은 현미를 뿌려 완성한다.              "
배숙구이,굽기,후식,,196.3,47,1.3,0.3,21.6,방울토마토,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00388_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00388_1.png,"탄산수, 생강청, 방울토마토, 배, 후르츠칵테일","1. 뚜껑을 만들 배의 윗동을 자르고, 수저로
배 속을 판다. 
2. 탄산수와 생강청을 미리 30분 전에 섞어준다. 
3. 방울토마토를 먹기 좋게 잘라준 후 속을 파낸
배에 후르츠 칵테일과 방울토마토를 넣어준다. 
4. 과일로 채워진 배에 미리 만든 생강탄산수를
부어준다. 
5. 배를 뚜껑을 덮어 호일로 싼 후 팬에 구워준다.               "
